DNI;apellido;nombre;puesto;id_tarjeta;usuario;contraseña
30901060;QUINTANA;CLAUDIO REYNALDO;OPERARIO PRODUCCIÓN;;;
37841080;QUINTANA;OSCAR FERNANDO;OPERARIO DEPÓSITO;;;
11975130;QUINTEIRO;VIRGINIA;OPERARIO EXPEDICIÓN;;;
12067770;RAFANIELLO;DANIEL;INGENIERO LABORATORIO;;;
35766690;RAFFO;LUIS EDUARDO;JEFE PERSONAL;;;
9952580;RAFULS;DANIEL;OPERARIO PRODUCCIÓN;;;
11783450;RAGGIO;WALKYRIA BEATRIZ;OPERARIO DEPÓSITO;;;
25120010;RAMAGLI;ALVARO JAVIER;OPERARIO EXPEDICIÓN;;;
13642720;RAMELLA;HECTOR SAUL;LEGALES;;;
14428550;RAMILLO;RAQUEL;OPERARIO PRODUCCIÓN;;;
35432940;RAMIREZ;ANDRES ELIAS;OPERARIO DEPÓSITO;;;
12306770;RAMOS;CONRADO RICARDO;OPERARIO EXPEDICIÓN;;;
45605980;RANDALL;GREGORY JASON;ADMINISTRATIVO;;;
30013810;RAPETTI;ANDRES;OPERARIO DEPÓSITO;;;
17628240;RODRIGUEZ;JOSÉ PEDRO;OPERARIO DEPÓSITO;;;
20000680;RODRIGUEZ;JULIA ISABEL;OPERARIO DEPÓSITO;;;
41144080;RODRIGUEZ;GABRIELA;OPERARIO DEPÓSITO;;;
11444600;RODRIGUEZ;GLORIA CARMEN;OPERARIO DEPÓSITO;;;
12860990;SARNI;EDUARDO VICENTE;OPERARIO DEPÓSITO;;;
34727560;SARTORIO;ROBERTO;OPERARIO DEPÓSITO;;;
15594800;SARUBBI;BEATRIZ ROMA;OPERARIO DEPÓSITO;;;
37298050;SARUTTE;JESUS EDUARDO;ADMINISTRATIVO;;;
10464550;SASSON;MARIELA;OPERARIO PRODUCCIÓN;;;
36629590;SAULEDA;HERMES LUIS;OPERARIO DEPÓSITO;;;
12015240;SAVIO;CARLOS MARIA;OPERARIO EXPEDICIÓN;;;
32733480;SCABONI;SILVIA LILIANA;OPERARIO PRODUCCIÓN;;;
41324890;SILVA;ROBERT;JEFE PLANTA;;;
12510580;SILVA;CARLOS MARTIN;OPERARIO PRODUCCIÓN;;;
13134380;SILVEIRA;RODOLFO HORACIO;OPERARIO DEPÓSITO;;;
26116560;TOLEDO;HERMES ROMERO;OPERARIO EXPEDICIÓN;;;
26674580;TOLOSA;HORACIO;SECRETARIO;;;
31675330;TOLOSA;PABLO;TÉCNICO LABORATORIO;;;
38101170;TOMA;MIGUEL ANGEL;OPERARIO PRODUCCIÓN;;;
16157590;TOMEO;FERNANDO DANIEL;OPERARIO DEPÓSITO;;;
13372360;TOMMASINO;JOSEFINA BEATRIZ;OPERARIO EXPEDICIÓN;;;
9579280;TOPOLANSKY;LUCIA;OPERARIO PRODUCCIÓN;;;
14776480;TORMO;PABLO;TÉCNICO LABORATORIO;;;
18762030;TORRES;SEBASTIAN;OPERARIO PRODUCCIÓN;;;
25258220;TORRES;OMAR JOSE;OPERARIO DEPÓSITO;;;
11690560;TOSCANO;ARTURO;OPERARIO EXPEDICIÓN;;;
16449040;TOSCANO;ADRIANA;ADMINISTRATIVO;;;
12050610;TOSI;LUIS DOMINGO;OPERARIO PRODUCCIÓN;;;
12113110;TOURNE;DAYSI LILIAN;OPERARIO DEPÓSITO;;;
18461500;TOUYA;EDUARDO ERLING;OPERARIO EXPEDICIÓN;;;
18997490;TOVAGLIARE;FERNANDO RAUL;SUPERVISOR;;;
14919470;URRUZOLA;JUAN PEDRO;CONDUCTOR;;;
13153690;URRUZOLA;MARIA GRACIANA;SECRETARIO;;;
18769840;URSE;GERARDO PEDRO;ADMINISTRATIVO;;;
40941250;USLENGHI;CARLOS DAVID;OFICIAL MANTENIMIENTO;;;
12742180;VACCARO;MARIA ISABEL;TÉCNICO LABORATORIO;;;
11407590;VALDEZ;LIZARDO;OPERARIO PRODUCCIÓN;;;
36725410;VALENTIN;RUBEN;OPERARIO DEPÓSITO;;;
31744840;VAZQUEZ;HEBERT;OPERARIO EXPEDICIÓN;;;
15368810;VAZQUEZ;DANILO ARIEL;SECRETARIO;;;
10415950;VAZQUEZ;JORGE LUIS;ADMINISTRATIVO;;;
35756520;YACKS;AMER;OFICIAL MANTENIMIENTO;;;
17033640;YANES;HORACIO PIERRE;OPERARIO PRODUCCIÓN;;;
31958660;YAQUE;RICARDO ELPIDIO;SUPERVISOR;;;
30692580;YOCCO;EDUARDO JULIO;TÉCNICO LABORATORIO;;;
26449670;YOFFRE;BORIS SILVESTRE;OFICIAL MANTENIMIENTO;;;
28184690;YROA;ROBERT ADOLFO;CONDUCTOR;;;
29976930;YURRAMENDI;JOSE FRANCISCO;CONDUCTOR;;;
36275910;YURRAMENDI;JOSE FRANCISCO;OPERARIO PRODUCCIÓN;;;
14310970;ZABALA;MARIO;OPERARIO DEPÓSITO;;;
28700110;ZAGARZAZU;OSCAR;OPERARIO EXPEDICIÓN;;;
31086540;ZARAUZ;MAURICIO RAUL;OFICIAL MANTENIMIENTO;;;
25377880;ZARAUZ;DIONISIO JAVIER;ADMINISTRATIVO;;;
12342020;ZAS;MARÍA CRISTINA;TÉCNICO LABORATORIO;;;
